level_pct,replicate,area_count,inj_no,source_vial
0.020,1,1831.0,1,CAL-1
0.020,2,1866.5,2, CAL-1
0.020,3,1901.9,3,CAL-1
0.050,1,4534.7,4,CAL-2
0.050,2,4622.5,5, CAL-2
0.050,3,4710.3,6,CAL-2
0.100,1,9119.7,7,CAL-3
0.100,2,9296.3,8, CAL-3
0.100,3,9473.0,9,CAL-3
0.200,1,17804.7,10,CAL-4
0.200,2,18115.2,11, CAL-4
0.200,3,18261.3,12,CAL-4
0.200,4,18407.4,13, CAL-4
0.200,5,18863.9,14,CAL-4
0.500,1,44658.6,15,CAL-5
0.500,2,45523.5,16, CAL-5
0.500,3,46388.5,17,CAL-5
1.000,1,90185.3,18,CAL-6
1.000,2,91932.0,19, CAL-6
1.000,3,93678.7,20,CAL-6
2.000,1,183518.1,21,CAL-7
2.000,2,187072.5,22, CAL-7
2.000,3,190626.8,23,CAL-7
5.000,1,462743.8,24,CAL-8
5.000,2,471706.2,25, CAL-8
5.000,3,480668.7,26,CAL-8
10.000,1,924882.3,27,CAL-9
10.000,2,942795.4,28, CAL-9
10.000,3,960708.5,29,CAL-9
