instrument, FM-700  ;  objective, 40x
specimen, QT-422-32 ; method, HV0.5 ; dwell_s, 12
seq,id,use,x_um,y_um,d1_um,d2_um,focus,program
1,W1,W, -520.0, -410.0, 60.72, 61.11,OK,RSTR-4A-revC
2,W2,W, -300.0, -410.0, 60.17, 60.54,ok ,RSTR-4A-revC
3,R1,R, 0.0, 0.0, 56.92, 57.29,OK,RSTR-4A-revC
4,R2,R, 403.0, 0.0, 57.18, 57.48,OK,RSTR-4A-revC
5,R3,R, 806.0, 0.0, 57.38, 57.70,OK,RSTR-4A-revC
6,R4,R, 1209.0, 0.0, 57.57, 57.95,OK,RSTR-4A-revC
7,R5,R, 147.0, 34.0, 54.19, 54.49,OK,RSTR-4A-revC
8,R6,R, 550.0, 34.0, 54.46, 54.80,OK,RSTR-4A-revC
9,R7,R, 953.0, 34.0, 54.58, 54.96,OK,RSTR-4A-revC
10,R8,R, 1356.0, 34.0, 54.23, 54.62,OK,RSTR-4A-revC

Export note: diagonals are operator edge picks; no HV column requested.
