well, assay,group,culture,sample_id,source_scan,tech_rep,Cq,amp_status,melt_peak_count,melt_Tm_C
B01, IL6,control,1,CTRL-01,CTRL-01,1,25.097,Amp,1,82.36
B02, IL6,control,1,CTRL-01,CTRL-01,2,25.153,Amp,1,82.34
B03, IL6,control,2,CTRL-02,CTRL-02,1,25.380,Amp,1,82.39
B04, IL6,control,3,CTRL-03,CTRL-03,1,25.426,Amp,1,82.43
B05, IL6,control,3,CTRL-03,CTRL-03,2,25.482,Amp,1,82.41
B06, IL6,control,4,CTRL-04,CTRL-04,1,25.274,Amp,1,82.47
B07, IL6,treated,1,TRT-01,TRT-01,1,23.946,Amp,1,82.35
B08, IL6,treated,1,TRT-01,TRT-01,2,24.002,Amp,1,82.37
B09, IL6,treated,2,TRT-02,TRT-02,1,24.196,Amp,1,82.39
B10, IL6,treated,3,TRT-03,TRT-03,1,24.179,Amp,1,82.40
B11, IL6,treated,3,TRT-03,TRT-03,2,24.235,Amp,1,82.41
B12, IL6,treated,4,TRT-04,TRT-04,1,22.895,Amp,1,82.47
B13, RPLP0,control,1,CTRL-01,CTRL-01,1,20.802,Amp,1,79.18
B14, RPLP0,control,1,CTRL-01,CTRL-01,2,20.858,Amp,1,79.22
B15, RPLP0,control,2,CTRL-02,CTRL-02,1,20.841,Amp,1,79.25
B16, RPLP0,control,3,CTRL-03,CTRL-03,1,20.817,Amp,1,79.27
B17, RPLP0,control,3,CTRL-03,CTRL-03,2,20.873,Amp,1,79.27
B18, RPLP0,control,4,CTRL-04,CTRL-04,1,20.848,Amp,1,79.28
B19, RPLP0,treated,1,TRT-01,TRT-01,1,20.705,Amp,1,79.23
B20, RPLP0,treated,1,TRT-01,TRT-01,2,20.761,Amp,1,79.21
B21, RPLP0,treated,2,TRT-02,TRT-02,1,20.747,Amp,1,79.22
B22, RPLP0,treated,3,TRT-03,TRT-03,1,20.724,Amp,1,79.27
B23, RPLP0,treated,3,TRT-03,TRT-03,2,20.780,Amp,1,79.28
B24, RPLP0,treated,4,TRT-04,TRT-04,1,20.757,Amp,1,79.31
B25, GAPDH,control,1,CTRL-01,CTRL-01,1,19.723,Amp,1,84.04
B26, GAPDH,control,1,CTRL-01,CTRL-01,2,19.779,Amp,1,84.03
B27, GAPDH,control,2,CTRL-02,CTRL-02,1,19.785,Amp,1,84.08
B28, GAPDH,control,3,CTRL-03,CTRL-03,1,19.763,Amp,1,84.09
B29, GAPDH,control,3,CTRL-03,CTRL-03,2,19.819,Amp,1,84.09
B30, GAPDH,control,4,CTRL-04,CTRL-04,1,19.768,Amp,1,84.12
B31, GAPDH,treated,1,TRT-01,TRT-01,1,18.932,Amp,1,84.05
B32, GAPDH,treated,1,TRT-01,TRT-01,2,18.988,Amp,1,84.08
B33, GAPDH,treated,2,TRT-02,TRT-02,1,18.994,Amp,1,84.09
B34, GAPDH,treated,3,TRT-03,TRT-03,1,18.965,Amp,1,84.10
B35, GAPDH,treated,3,TRT-03,TRT-03,2,19.021,Amp,1,84.12
B36, GAPDH,treated,4,TRT-04,TRT-04,1,18.971,Amp,1,84.15
