Run NR-2415  endpoint export
reader: CLARIOstar-07 ; gain 1250 ; endpoint 18 h

well , sample , dose_nM , log2_induction , final_uL , flags
B3 , NFKB-luc , 0.5 , -0.488 , 48.7 , --
C3 , NFKB-luc , 0.5 , -0.487 , 48.2 , --
D3 , NFKB-luc , 0.5 , -0.509 , 49.4 , --
B4 , NFKB-luc , 1.0 , -0.160 , 48.6 , --
C4 , NFKB-luc , 1.0 , -0.117 , 50.0 , --
D4 , NFKB-luc , 1.0 , -0.175 , 49.4 , --
B5 , NFKB-luc , 2.0 , 0.232 , 49.4 , --
C5 , NFKB-luc , 2.0 , 0.197 , 48.7 , --
D5 , NFKB-luc , 2.0 , 0.240 , 48.2 , --
B6 , NFKB-luc , 4.0 , 0.570 , 49.3 , --
C6 , NFKB-luc , 4.0 , 0.548 , 48.3 , --
D6 , NFKB-luc , 4.0 , 0.528 , 50.0 , --
A7 , NFKB-luc , 8.0 , 1.449 , 39.7 , --
A8 , NFKB-luc , 8.0 , 1.444 , 41.6 , --
B7 , NFKB-luc , 8.0 , 0.935 , 48.9 , --
A9 , NFKB-luc , 16.0 , 1.993 , 40.0 , --
A10 , NFKB-luc , 16.0 , 2.003 , 41.3 , --
B9 , NFKB-luc , 16.0 , 1.257 , 48.1 , --

Export note: final_uL is the post-read acoustic volume estimate.
Rows are in acquisition order, not dose order.
